Week#,CRO France,CRO Germany,CRO Italy,CRO Portugal,CRO Spain,CRO UK,CTR France,CTR Germany,CTR Italy,CTR Portugal,CTR Spain,CTR UK
2,41,77,31,52,215,0,669,803,510,399,1222,1398
3,34,78,53,40,137,6,816,859,631,516,1372,1772
4,49,67,58,33,60,44,770,824,712,483,1431,1994
5,30,75,48,23,74,84,706,858,827,436,1431,1988
6,32,68,41,27,77,112,758,801,739,463,1423,2023
7,40,93,62,31,68,92,843,871,849,440,1374,1933
8,23,65,52,18,57,53,749,933,871,364,1551,1951
9,36,58,42,19,52,123,800,927,714,427,1570,2057
10,20,83,63,25,76,162,799,1006,828,448,1651,2200
11,14,98,64,45,107,285,813,935,954,437,1763,2137
12,18,98,60,20,78,242,727,1018,900,449,1916,2044
13,20,78,51,25,115,206,705,1057,853,362,1832,2055
14,732,161,68,15,75,178,712,1047,1053,457,2010,2320
15,2646,169,84,28,72,204,804,1136,993,463,2154,2232
16,2378,210,48,25,69,339,760,901,949,381,1784,2190
17,28,63,48,20,114,296,738,996,910,364,1798,1903
18,16,69,81,34,89,244,691,1090,965,428,1933,2209
19,9,51,47,46,46,111,899,1269,1478,532,2048,2597
20,7,26,26,27,43,52,553,739,865,301,1213,1571
