Week,France,Germany,Italy,Portugal,Spain,UK
2,1236,2369,1222,974,2652,4402
3,1236,2371,1114,987,2937,4450
4,1264,2358,1165,862,2977,4799
5,1239,2333,1082,918,3190,4801
6,1368,2372,1224,1004,3127,4690
7,1303,2475,1314,944,3343,4510
8,1208,2559,1218,871,3163,4646
9,1287,2636,1167,928,3138,4944
10,1421,2889,1353,1046,3429,5473
11,1483,2641,1530,995,3409,5626
12,1368,3059,1584,996,3175,5410
13,1328,2962,1445,950,3283,5645
14,1505,3095,1508,992,3539,5912
15,1549,3401,1739,1015,3628,5713
16,1440,2700,1435,950,2919,5183
17,1366,2964,1479,946,3256,5247
18,1482,3134,1787,1108,3227,5859
19,1553,3265,2120,1092,3528,5688
20,1357,2523,1924,909,3187,5256
