Week,France,Germany,Italy,Portugal,Spain,UK
21,1317,3015,1785,1227,3242,5577
22,1366,3154,1866,1285,3463,5869
23,1185,2985,1647,1100,3076,5579
24,1436,3694,1964,1290,3610,5745
25,1332,3418,1814,1193,3342,5764
26,1464,3671,1907,1277,3609,5864
27,1644,4522,2196,1449,4100,6433
28,1134,3573,1598,1028,2893,5448
29,1528,4514,1948,1300,3753,5958
30,1454,4296,1854,1237,3572,5966
31,1442,4310,1872,1241,3566,6187
32,1192,3844,1637,955,3037,5820
33,1256,4038,1717,1003,3196,5858
34,1462,4654,1966,1157,3700,6224
35,1503,4637,1917,1156,3741,6484
36,1539,2723,1080,1381,3209,5475
37,2432,4340,1735,2197,5110,7484
38,2252,4013,1602,2032,4725,7501
39,2429,4260,1674,2166,5023,7665
40,2354,4052,1639,2117,4773,7771
41,2125,3483,1484,1931,4097,7476
42,2666,4314,1808,2396,5082,7461
43,2693,4405,1872,2443,5183,7976
44,3028,4956,2108,2749,5831,7793
45,2129,3644,1452,2063,4411,7701
46,2424,4233,1732,2391,5118,7607
47,2158,3718,1494,2103,4498,7599
48,2072,3509,1377,1988,4250,7560
49,2212,4061,1621,1941,4550,7276
50,1985,3745,1487,1646,4048,7024
51,1671,3213,1300,1396,3456,6324
52,1404,2673,1071,1168,2883,4380
53,1458,2905,1303,1274,3112,5048
54,1645,3877,2329,1718,4031,6061
55,1724,4070,2492,1814,4267,6325
56,1718,4058,2516,1816,4279,6320
57,1618,3822,2365,1709,4025,7021
58,1897,4286,2919,2001,4636,7277
59,2141,4808,3396,2275,5268,7654
60,2094,4702,3311,2223,5144,7759
61,1782,4001,2830,1894,4386,7768
62,1829,4396,2817,1998,4673,7099
63,1666,4024,2469,1811,4223,7007
64,1716,4146,2544,1866,4351,7195
65,1680,4041,2454,1818,4228,7279
66,1750,4341,2670,1939,4597,7408
67,1859,4652,2857,2059,4975,7990
68,1596,4000,2456,1770,4277,6979
69,1826,4583,2815,2028,4901,7986
70,1812,4426,2749,1979,4719,8219
71,1813,4594,3408,2301,4812,8092
72,1717,4323,3166,2161,4514,7888
73,1689,4266,3141,2134,4460,7668
74,1735,4365,3190,2182,4555,8010
75,1786,4813,3416,2250,4653,8328
76,1927,5388,3804,2447,5019,8097
77,1787,4986,3510,2264,4646,8127
78,1962,5362,3666,2428,5011,8253
79,2204,6596,4244,2751,5697,9056
80,1522,5203,3116,1947,4026,7663
81,2047,6587,3747,2470,5208,8382
82,1948,6269,3566,2351,4956,8397
83,1932,6286,3611,2357,4951,8710
84,1598,5606,3169,1814,4217,8195
85,1684,5890,3320,1906,4437,8214
86,1959,6791,3795,2200,5134,8729
87,2013,6773,3672,2201,5184,9084
