"WeekNumber","CRO.France","CRO.Germany","CRO.Italy","CRO.Portugal","CRO.Spain","CRO.UK","CTR.France","CTR.Germany","CTR.Italy","CTR.Portugal","CTR.Spain","CTR.UK"
21,252,98,57,37,75,81,893,1046,1226,510,1369,2303
22,445,103,58,39,107,111,671,1094,1047,589,1770,2366
23,423,97,56,33,102,118,814,1036,1027,430,1572,2042
24,430,120,59,39,107,131,723,1281,1154,551,1845,2238
25,343,111,57,36,89,137,783,1186,1094,518,1708,2252
26,358,119,58,39,90,143,745,1273,1135,538,1844,2216
27,417,147,61,44,105,160,774,1569,1296,639,2095,2410
28,299,116,55,31,77,137,749,1239,969,420,1478,2139
29,413,147,59,40,103,150,766,1566,1160,556,1918,2265
30,392,140,58,38,99,151,758,1490,1109,526,1825,2275
31,384,140,58,38,97,157,762,1495,1119,531,1822,2339
32,315,125,56,29,81,148,756,1334,991,372,1552,2232
33,331,131,57,31,85,149,759,1401,1035,400,1633,2244
34,387,151,59,35,99,159,760,1615,1170,484,1891,2348
35,399,151,58,35,101,165,762,1609,1143,482,1912,2420
36,409,89,51,42,87,140,762,945,689,604,1640,2137
37,646,141,57,67,138,191,775,1506,1044,1044,2611,2702
38,597,131,56,62,127,191,772,1392,972,954,2414,2706
39,644,139,56,66,135,196,775,1478,1011,1027,2567,2752
40,624,132,56,64,128,198,774,1406,992,1001,2439,2782
41,564,113,54,59,110,191,771,1208,908,900,2094,2699
42,707,140,57,73,137,190,779,1497,1084,1151,2597,2695
43,714,143,58,74,140,203,779,1528,1119,1176,2649,2840
44,803,161,60,84,157,199,784,1719,1247,1341,2980,2788
45,565,119,54,63,119,196,771,1264,891,971,2254,2763
46,643,138,57,73,138,194,775,1468,1043,1148,2615,2736
47,572,121,55,64,121,194,771,1290,914,993,2298,2734
48,550,114,53,61,114,193,770,1217,850,931,2172,2723
49,587,132,56,59,123,186,772,1409,982,906,2325,2643
50,527,122,54,50,109,179,769,1299,910,747,2069,2572
51,443,104,53,43,93,161,764,1115,808,612,1766,2375
52,372,87,51,36,78,112,760,927,684,489,1473,1829
53,387,94,53,39,84,129,761,1008,810,546,1590,2017
54,436,126,62,52,109,155,764,1345,1367,785,2060,2302
55,457,132,64,55,115,161,765,1412,1455,837,2180,2376
56,456,132,64,55,115,161,765,1408,1468,838,2187,2374
57,429,124,62,52,108,179,763,1326,1386,781,2057,2571
58,503,139,68,61,125,186,767,1487,1687,938,2369,2643
59,568,156,72,69,142,195,771,1668,1946,1086,2692,2749
60,556,153,71,68,139,198,770,1631,1900,1058,2629,2779
61,473,130,67,58,118,198,766,1388,1639,880,2241,2781
62,485,143,67,61,126,181,766,1525,1632,936,2388,2593
63,442,131,63,55,114,179,764,1396,1443,836,2158,2568
64,455,135,64,57,117,184,765,1438,1483,865,2223,2620
65,446,131,63,55,114,186,764,1402,1435,839,2161,2644
66,464,141,65,59,124,189,765,1506,1552,905,2349,2680
67,493,151,67,63,134,204,767,1614,1653,969,2542,2844
68,423,130,63,54,115,178,763,1388,1436,814,2186,2560
69,484,149,67,62,132,204,766,1590,1631,953,2504,2843
70,481,144,66,60,127,210,766,1535,1595,926,2411,2908
71,481,149,72,70,130,206,766,1594,1952,1100,2459,2873
72,456,141,70,66,122,201,765,1500,1821,1024,2307,2815
73,448,139,70,65,120,196,764,1480,1807,1010,2279,2753
74,460,142,70,66,123,204,765,1514,1834,1036,2328,2850
75,474,157,72,69,125,212,766,1670,1957,1072,2378,2939
76,511,175,76,75,135,207,768,1869,2167,1178,2565,2874
77,474,162,73,69,125,207,766,1730,2008,1080,2374,2882
78,521,174,74,74,135,211,768,1860,2092,1168,2561,2918
79,585,215,80,84,153,231,772,2288,2406,1342,2911,3144
80,404,169,69,59,108,196,762,1805,1794,909,2057,2752
81,543,214,75,75,140,214,770,2285,2136,1191,2661,2954
82,517,204,73,72,133,214,768,2175,2038,1127,2533,2958
83,513,204,74,72,133,222,768,2181,2063,1130,2530,3046
84,424,182,70,55,114,209,763,1945,1823,837,2155,2902
85,447,192,71,58,120,210,764,2043,1905,887,2267,2907
86,520,221,76,67,138,223,768,2356,2162,1045,2623,3052
87,534,220,74,67,140,232,769,2350,2096,1046,2649,3151
